edge_energy,edge_slope,wl_energy,wl_intensity,curvature_wl,pit_energy,pit_intensity,curvature_pit
6.549282449999999699e+03,-1.254858194170164279e+04,6.562516719999999623e+03,1.000000000000000000e+00,-3.162193065457397090e-04,6.562693100000000413e+03,9.996386065068046944e-01,-4.517418664934380601e-05
6.549282449999999699e+03,-1.254633650684482745e+04,6.562516719999999623e+03,1.000000000000000000e+00,-3.839104798085413162e-04,6.570981039999999666e+03,9.126490743588620003e-01,2.032467246045055465e-04
6.549282449999999699e+03,-1.255512582759453289e+04,6.562516719999999623e+03,1.000000000000000000e+00,-4.066970532629332613e-04,6.570981039999999666e+03,9.133283390935192925e-01,2.259428073682345772e-04
6.549282449999999699e+03,-1.261817280313523588e+04,6.562340329999999994e+03,1.000000000000000000e+00,-4.519998039766992548e-04,6.570275849999999991e+03,9.144816370876037714e-01,-2.259999019882386051e-05
6.549282449999999699e+03,-1.253303935903795173e+04,6.562340329999999994e+03,1.000000000000000000e+00,-4.970353198720800503e-04,6.570099540000000161e+03,9.142388148075315524e-01,4.066652617134847159e-04
6.549105919999999969e+03,-1.254044976582105846e+04,6.562516719999999623e+03,1.000000000000000000e+00,-5.647630252087476599e-04,6.570099540000000161e+03,9.138849339161747576e-01,4.969914621836546420e-04
6.549282449999999699e+03,-1.252079026964093100e+04,6.562516719999999623e+03,1.000000000000000000e+00,-5.423670912042821701e-04,6.570099540000000161e+03,9.145771831353374237e-01,2.937821744023183523e-04
6.549105919999999969e+03,-1.254699678660437894e+04,6.562340329999999994e+03,1.000000000000000000e+00,-4.296514923075867021e-04,6.570099540000000161e+03,9.154264957247100210e-01,2.713588372468545007e-04
6.549105919999999969e+03,-1.258773631239604219e+04,6.562516719999999623e+03,1.000000000000000000e+00,-3.166631134049746610e-04,6.570099540000000161e+03,9.156771366590246153e-01,2.714255257756925666e-04
6.549105919999999969e+03,-1.254092078444118488e+04,6.562163950000000114e+03,1.000000000000000000e+00,-3.619427053926926874e-04,6.570099540000000161e+03,9.154863782908069236e-01,2.035927717833341255e-04
6.549105919999999969e+03,-1.253780247319137197e+04,6.562163950000000114e+03,1.000000000000000000e+00,-5.203541974100334144e-04,6.569923240000000078e+03,9.154763790641867738e-01,2.941132420143932613e-04
6.549105919999999969e+03,-1.249696828741702302e+04,6.562163950000000114e+03,1.000000000000000000e+00,-3.850995994421069213e-04,6.570099540000000161e+03,9.166372631796031456e-01,2.944879289852042614e-04
6.549105919999999969e+03,-1.254547830006963341e+04,6.562163950000000114e+03,1.000000000000000000e+00,-2.494430186835427943e-04,6.562340329999999994e+03,9.998185868955028477e-01,-2.494430186835427943e-04
6.548929379999999583e+03,-1.253940969681818933e+04,6.562163950000000114e+03,1.000000000000000000e+00,-2.952575791235201308e-04,6.562340329999999994e+03,9.996366060564633171e-01,-2.952575791234923752e-04
6.548929379999999583e+03,-1.260666619084052218e+04,6.561987559999999576e+03,1.000000000000000000e+00,-4.328540053880336469e-04,6.569923240000000078e+03,9.197169728953838996e-01,3.417268463591083272e-04
6.548929379999999583e+03,-1.247440838411118420e+04,6.561458380000000034e+03,1.000000000000000000e+00,-2.748760185461440742e-04,6.561634769999999662e+03,9.992669972838766901e-01,6.871900463656377411e-05
6.548399769999999990e+03,-1.286528935261406150e+04,6.560223560000000361e+03,1.000000000000000000e+00,-2.749996750421035419e-04,6.560576369999999770e+03,9.996333337666105656e-01,-6.874991876051894657e-05
